Act.NeSiteId,Actual Ne SiteName,SourceNode,Latitude,Longitude
PAL129,ProtelindoKomplekTransmigrasi_MW,GPON01-D7-PLB-3,-0.927185,119.906563
PAL130,ProtelindoMutiaraPalu_MW,GPON05-D7-PLB-4,-0.914495,119.901795
PAL131,PROTELINDO BIROMARU,GPON01-D7-PLB-3,-0.95674,119.898129
PAL133,LEKATU,GPON02-D7-PLB-3,-0.92311,119.86023
PAL134,Protelindo_Diponegoro_Ulujadi,GPON05-D7-PLA-4,-0.88445,119.84112
PAL135,PROTELINDO_PENGAU,GPON04-D7-PLB-4,-0.92762,119.845704
PAL136,PROTELINDO LERE RAHMAN,GPON03-D7-PLA-4,-0.891577,119.83469
PAL137,Palu Barat 3/Protelindo Lasoso Kabonena,GPON02-D7-PLA-3,-0.886972,119.840771
PAL138,ProtelindoHasanuddinToto_MW,GPON01-D7-PLA-3,-0.881677,119.83297
PAL139,Prot. Palu Timur Lolu,GPON02-D7-PLA-3,-0.904786,119.86779
PAL142,Protelindo_Boyaoge_DCS,GPON04-D7-PLB-4,-0.942275,119.84375
PAL145,TALISE PALU TIMUR 2,GPON01-D7-PLA-3,-0.88174,119.88485
PAL147,KALUKUBULA KARANJA,GPON05-D7-PLB-4,-0.942518,119.896518
PAL148,Protelindo Besusu Tarua,GPON05-D7-PLB-4,-0.921136,119.877301
PAL149,TBG Roviga,GPON01-D7-PLB-3,-0.848752,119.891605
PAL150,MARAWOLA_2,GPON04-D7-PLB-4,-0.93482,119.87108
PAL151,Miangas,GPON04-D7-PLB-4,-0.910896,119.86964
PAL152,TBGTalisePaluTimur_MW,GPON00-D7-PLA-5,-0.892723,119.871766
PAL153,TBGSamratPaluTimur_MW,GPON01-D7-PLA-3,-0.88115,119.87251
PAL154,TBG Gerbang Tondo,GPON01-D7-PLA-3,-0.848856,119.881728
PAL155,DMTTERUSANMARAWOLA,GPON01-D7-PLB-3,-0.989625,119.87373
PAL156,DMTLereLasoso_MW,GPON03-D7-PLA-4,-0.88518,119.83614
PAL157,DMTManondaDuyu_MW,GPON02-D7-PLA-3,-0.909541,119.844386
PAL158,DMT_Buru_Mamboro,GPON01-D7-TWL-4,-0.79731,119.87384
PAL159,DMT BESUSU MANIMBAYA,GPON02-D7-PLA-3,-0.910202,119.881395
